Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796480051, 375207, 576, 436, 561
1557796480064, 375221, 580, 429, 559
1557796480077, 375234, 581, 422, 557
1557796480090, 375246, 582, 419, 555
1557796480104, 375260, 583, 418, 554
1557796480117, 375273, 582, 420, 553
1557796480129, 375286, 580, 422, 554
1557796480143, 375300, 579, 424, 554
1557796480156, 375312, 578, 424, 555
1557796480168, 375325, 578, 424, 555
1557796480182, 375339, 578, 425, 556
1557796480195, 375352, 578, 424, 556
1557796480209, 375364, 579, 424, 555
1557796480223, 375377, 578, 425, 557
1557796480234, 375391, 578, 425, 558
1557796480246, 375404, 576, 426, 558
1557796480261, 375416, 577, 427, 559
1557796480274, 375430, 578, 426, 559
1557796480285, 375443, 578, 427, 559
1557796480299, 375456, 579, 428, 558
1557796480313, 375469, 579, 428, 558
1557796480326, 375482, 580, 428, 557
1557796480338, 375495, 581, 427, 557
1557796480351, 375508, 580, 427, 556
1557796480365, 375522, 579, 428, 556
1557796480378, 375534, 580, 426, 556
1557796480390, 375547, 579, 426, 556
1557796480404, 375561, 580, 425, 556
1557796480417, 375574, 579, 426, 556
1557796480430, 375586, 579, 426, 556
1557796480443, 375600, 579, 425, 557
1557796480457, 375613, 578, 426, 557
1557796480469, 375626, 579, 427, 557
1557796480482, 375639, 579, 425, 557
1557796480495, 375652, 579, 426, 556
1557796480509, 375665, 580, 426, 556
1557796480521, 375678, 579, 426, 555
1557796480534, 375691, 580, 427, 555
1557796480548, 375704, 580, 426, 555
1557796480561, 375717, 579, 426, 556
1557796480574, 375731, 579, 426, 557
1557796480587, 375744, 579, 427, 557
1557796480600, 375756, 579, 427, 557
1557796480612, 375770, 579, 425, 557
1557796480626, 375783, 579, 427, 557
1557796480639, 375796, 580, 427, 556
1557796480652, 375809, 581, 426, 555
1557796480666, 375822, 580, 427, 555
1557796480678, 375835, 581, 427, 555
1557796480692, 375848, 580, 426, 555
1557796480704, 375861, 580, 427, 555
1557796480717, 375874, 581, 427, 556
1557796480731, 375887, 580, 427, 555
1557796480744, 375901, 581, 427, 555
1557796480757, 375913, 580, 426, 556
1557796480770, 375926, 580, 427, 556
1557796480783, 375940, 580, 426, 556
1557796480797, 375953, 579, 426, 555
1557796480809, 375966, 580, 426, 556
1557796480822, 375979, 580, 426, 556
1557796480835, 375992, 579, 426, 556
1557796480848, 376005, 580, 426, 556
1557796480861, 376018, 580, 426, 556
1557796480874, 376031, 580, 427, 556
1557796480887, 376044, 580, 427, 556
1557796480900, 376057, 580, 426, 555
1557796480913, 376071, 580, 426, 555
1557796480927, 376083, 580, 426, 555
1557796480940, 376096, 580, 427, 556
1557796480953, 376110, 580, 426, 556
1557796480966, 376123, 579, 426, 556
1557796480982, 376135, 579, 427, 556
1557796480992, 376148, 579, 426, 556
1557796481004, 376162, 579, 427, 556
1557796481018, 376175, 580, 426, 557
1557796481031, 376188, 580, 426, 556
1557796481045, 376201, 580, 427, 556
1557796481058, 376214, 581, 427, 555
1557796481070, 376227, 581, 427, 556
1557796481083, 376241, 580, 427, 556
1557796481096, 376253, 580, 427, 556
1557796481109, 376266, 580, 427, 556
1557796481123, 376280, 580, 426, 556
1557796481137, 376293, 579, 426, 556
1557796481150, 376305, 579, 427, 556
1557796481163, 376318, 580, 426, 556
1557796481174, 376332, 580, 426, 556
1557796481190, 376345, 580, 426, 555
1557796481202, 376357, 580, 426, 555
1557796481213, 376371, 579, 426, 555
1557796481227, 376384, 580, 425, 555
1557796481241, 376397, 579, 425, 555
1557796481254, 376411, 579, 425, 555
1557796481267, 376423, 580, 425, 555
1557796481280, 376436, 579, 425, 555
1557796481292, 376450, 580, 425, 555
1557796481305, 376463, 580, 425, 555
1557796481319, 376475, 579, 426, 556
1557796481332, 376488, 580, 426, 556
1557796481345, 376502, 579, 426, 556
1557796481358, 376515, 579, 426, 556
1557796481371, 376527, 579, 426, 556
1557796481384, 376541, 579, 426, 556
1557796481397, 376554, 580, 426, 555
1557796481410, 376567, 580, 425, 555
1557796481423, 376580, 580, 426, 555
1557796481436, 376593, 580, 427, 556
1557796481450, 376606, 579, 426, 556
1557796481462, 376620, 580, 426, 556
1557796481476, 376633, 579, 426, 556
1557796481489, 376645, 579, 427, 556
1557796481501, 376658, 580, 427, 556
1557796481515, 376672, 580, 426, 555
1557796481528, 376685, 581, 427, 555
1557796481541, 376697, 580, 426, 555
1557796481554, 376711, 580, 426, 554
1557796481568, 376724, 581, 425, 554
1557796481580, 376737, 580, 425, 554
1557796481593, 376750, 579, 425, 555
1557796481607, 376763, 579, 425, 555
1557796481620, 376776, 578, 425, 555
1557796481633, 376790, 579, 425, 555
1557796481646, 376802, 579, 425, 555
1557796481658, 376815, 579, 426, 554
1557796481672, 376828, 580, 426, 555
1557796481685, 376842, 580, 425, 554
1557796481698, 376855, 580, 426, 555
1557796481712, 376867, 580, 425, 554
1557796481723, 376881, 579, 425, 554
1557796481737, 376894, 580, 425, 554
1557796481750, 376907, 579, 425, 554
1557796481763, 376920, 578, 425, 555
1557796481776, 376933, 579, 425, 556
1557796481790, 376946, 579, 425, 554
1557796481803, 376960, 580, 425, 555
1557796481816, 376972, 580, 425, 555
1557796481829, 376985, 580, 425, 554
1557796481841, 376998, 580, 426, 554
1557796481856, 377012, 580, 426, 554
1557796481867, 377024, 580, 425, 554
1557796481881, 377037, 580, 425, 554
1557796481894, 377051, 579, 425, 554
1557796481908, 377064, 579, 426, 554
1557796481920, 377077, 579, 425, 554
1557796481933, 377090, 578, 424, 554
1557796481947, 377103, 579, 425, 554
1557796481959, 377116, 578, 425, 554
1557796481972, 377129, 579, 424, 554
1557796481986, 377142, 579, 424, 554
1557796481999, 377155, 579, 426, 555
