Processing Timestamp (ms), Arduino Timestamp (ms), X, Y, Z
1557796492390, 387547, 580, 425, 553
1557796492403, 387560, 580, 425, 553
1557796492417, 387573, 581, 424, 552
1557796492430, 387586, 580, 425, 552
1557796492443, 387599, 580, 425, 551
1557796492456, 387612, 581, 425, 552
1557796492469, 387625, 580, 424, 551
1557796492481, 387638, 581, 423, 551
1557796492494, 387651, 580, 424, 551
1557796492508, 387664, 580, 425, 551
1557796492521, 387678, 580, 424, 552
1557796492534, 387690, 580, 424, 551
1557796492548, 387703, 580, 424, 552
1557796492561, 387717, 580, 424, 552
1557796492573, 387730, 580, 424, 552
1557796492587, 387743, 581, 424, 551
1557796492600, 387756, 580, 425, 551
1557796492613, 387769, 581, 425, 551
1557796492626, 387782, 581, 424, 551
1557796492639, 387795, 580, 425, 551
1557796492652, 387808, 580, 424, 551
1557796492665, 387821, 580, 424, 551
1557796492678, 387834, 579, 424, 552
1557796492694, 387848, 580, 423, 552
1557796492705, 387860, 579, 423, 551
1557796492718, 387873, 580, 424, 551
1557796492730, 387887, 579, 424, 551
1557796492745, 387900, 580, 424, 551
1557796492756, 387912, 581, 424, 551
1557796492770, 387926, 580, 425, 552
1557796492782, 387939, 580, 425, 552
1557796492796, 387952, 581, 425, 552
1557796492808, 387965, 581, 425, 551
1557796492822, 387978, 581, 425, 551
1557796492834, 387991, 580, 425, 552
1557796492848, 388004, 580, 425, 551
1557796492860, 388018, 581, 424, 552
1557796492874, 388030, 580, 424, 552
1557796492888, 388043, 580, 425, 552
1557796492901, 388057, 580, 425, 552
1557796492914, 388070, 580, 424, 551
1557796492926, 388082, 580, 424, 552
1557796492939, 388096, 579, 423, 551
1557796492953, 388109, 578, 423, 552
1557796492966, 388122, 579, 422, 552
1557796492978, 388134, 578, 421, 551
1557796492993, 388148, 579, 422, 551
1557796493005, 388161, 580, 424, 551
1557796493017, 388174, 581, 424, 551
1557796493031, 388188, 582, 424, 551
1557796493044, 388200, 581, 425, 551
1557796493058, 388213, 581, 426, 551
1557796493070, 388227, 581, 425, 552
1557796493082, 388240, 580, 424, 551
1557796493096, 388252, 580, 423, 552
1557796493110, 388265, 579, 423, 550
1557796493122, 388279, 578, 424, 550
1557796493135, 388292, 579, 423, 550
1557796493148, 388304, 578, 422, 549
1557796493161, 388318, 578, 422, 550
1557796493175, 388331, 578, 421, 551
1557796493190, 388344, 578, 422, 551
1557796493200, 388357, 579, 423, 552
1557796493214, 388370, 579, 423, 552
1557796493226, 388383, 579, 425, 552
1557796493240, 388397, 580, 425, 552
1557796493253, 388410, 580, 424, 552
1557796493266, 388422, 581, 425, 552
1557796493280, 388435, 581, 425, 551
1557796493292, 388449, 580, 425, 551
1557796493305, 388462, 580, 425, 551
1557796493318, 388474, 579, 424, 551
1557796493331, 388488, 580, 424, 551
1557796493345, 388501, 579, 423, 550
1557796493358, 388514, 579, 423, 550
1557796493371, 388527, 579, 423, 551
1557796493385, 388540, 578, 422, 551
1557796493397, 388553, 578, 423, 551
1557796493410, 388567, 578, 424, 552
1557796493423, 388579, 578, 423, 551
1557796493438, 388592, 581, 424, 552
1557796493450, 388605, 579, 423, 550
1557796493462, 388619, 579, 423, 551
1557796493475, 388632, 580, 423, 552
